entry_date,entry_price,exit_date,exit_price,reason,code,name,marcap,entry_vol,marcap_tier,vol_tier
2026-04-01,179000.0,2026-04-01,189600.0,disparity_recovered,005930,삼성전자,1819654216740000.0,0.032134055428727305,대형,중변동
2026-03-31,817000.0,2026-04-05,876000.0,holding_limit,000660,SK하이닉스,1617121666185000.0,0.041453497834379974,대형,고변동
2026-03-31,459500.0,2026-04-05,471000.0,holding_limit,005380,현대차,139030523114000.0,0.026392689632557458,대형,중변동
2026-03-31,115900.0,2026-04-05,124400.0,holding_limit,005935,삼성전자우,154697167938400.0,0.030005344185465445,대형,중변동
2026-05-14,447000.0,2026-05-19,400000.0,holding_limit,373220,LG에너지솔루션,89973000000000.0,0.019612265767915096,대형,저변동
2026-05-22,411500.0,2026-05-27,384500.0,holding_limit,373220,LG에너지솔루션,89973000000000.0,0.02640699967052857,대형,중변동
2026-04-01,1323000.0,2026-04-02,1417000.0,disparity_recovered,012450,한화에어로스페이스,64402687849000.0,0.026544836225380276,대형,중변동
2026-05-08,1335000.0,2026-05-13,1286000.0,holding_limit,012450,한화에어로스페이스,64402687849000.0,0.02534824859576642,대형,중변동
2026-05-16,1300000.0,2026-05-21,1248000.0,holding_limit,012450,한화에어로스페이스,64402687849000.0,0.02807568772864117,대형,중변동
2026-05-20,1347000.0,2026-05-25,1415000.0,holding_limit,207940,삼성바이오로직스,63835221429000.0,0.013086673367794248,대형,저변동
2026-03-31,473500.0,2026-04-05,483000.0,holding_limit,402340,SK스퀘어,167323233448000.0,0.04401857164767078,대형,고변동
2026-04-08,558000.0,2026-04-08,578000.0,disparity_recovered,402340,SK스퀘어,167323233448000.0,0.04656701625300799,대형,고변동
2026-04-01,152900.0,2026-04-06,151600.0,holding_limit,000270,기아,64027731672000.0,0.02198826223998821,대형,저변동
2026-05-21,154500.0,2026-05-21,167900.0,disparity_recovered,000270,기아,64027731672000.0,0.03327397204421384,대형,중변동
2026-03-31,94900.0,2026-04-05,96600.0,holding_limit,034020,두산에너빌리티,69372772111800.0,0.02703234584725892,대형,중변동
2026-05-15,118800.0,2026-05-20,101300.0,holding_limit,034020,두산에너빌리티,69372772111800.0,0.02516074761948043,대형,중변동
2026-03-29,494000.0,2026-04-03,479500.0,holding_limit,329180,HD현대중공업,77776267725000.0,0.02867989051062698,대형,중변동
2026-05-19,621000.0,2026-05-21,672000.0,disparity_recovered,329180,HD현대중공업,77776267725000.0,0.036531640063889176,대형,중변동
2026-05-21,182000.0,2026-05-22,198700.0,disparity_recovered,068270,셀트리온,42947354632350.0,0.018617843374040502,대형,저변동
