entry_date,entry_price,exit_date,exit_price,reason,code,name
2026-05-05,909000.0,2026-05-05,981720.0000000001,take_profit,402340,SK스퀘어
2026-05-07,189600.0,2026-05-07,180120.0,stop_loss,005935,삼성전자우
2026-04-29,565000.0,2026-04-30,536750.0,stop_loss,005380,현대차
2026-05-09,590000.0,2026-05-09,637200.0,take_profit,005380,현대차
2026-05-13,923000.0,2026-05-13,996840.0000000001,take_profit,009150,삼성전기
2026-04-22,491500.0,2026-04-23,466925.0,stop_loss,373220,LG에너지솔루션
2026-04-23,638000.0,2026-04-27,689040.0,take_profit,329180,HD현대중공업
2026-04-17,111600.0,2026-04-22,115900.0,holding_limit,034020,두산에너빌리티
2026-05-07,392000.0,2026-05-07,372400.0,stop_loss,028260,삼성물산
2026-05-09,159800.0,2026-05-11,172584.0,take_profit,000270,기아
2026-05-09,458500.0,2026-05-09,495180.00000000006,take_profit,012330,현대모비스
2026-04-03,451500.0,2026-04-08,471500.0,holding_limit,006400,삼성SDI
2026-04-22,686000.0,2026-04-22,651700.0,stop_loss,006400,삼성SDI
2026-05-27,134000.0,2026-05-27,134300.0,holding_limit,042660,한화오션
2026-04-24,221000.0,2026-04-27,238680.00000000003,take_profit,010120,LS ELECTRIC
2026-04-29,141200.0,2026-05-04,143200.0,holding_limit,066570,LG전자
2026-05-13,192800.0,2026-05-14,208224.0,take_profit,066570,LG전자
2026-04-15,73400.0,2026-04-15,69730.0,stop_loss,006800,미래에셋증권
2026-05-05,66500.0,2026-05-06,71820.0,take_profit,006800,미래에셋증권
2026-04-22,420000.0,2026-04-27,417500.0,holding_limit,005490,POSCO홀딩스
2026-04-23,462000.0,2026-04-28,468500.0,holding_limit,009540,HD한국조선해양
2026-04-28,367000.0,2026-04-29,348650.0,stop_loss,042700,한미반도체
2026-04-09,1589000.0,2026-04-14,1649000.0,holding_limit,010130,고려아연
2026-04-23,32700.0,2026-04-23,35316.0,take_profit,010140,삼성중공업
2026-04-23,534000.0,2026-04-23,507300.0,stop_loss,011070,LG이노텍
2026-04-03,202000.0,2026-04-08,206500.0,holding_limit,064350,현대로템
2026-03-21,33650.0,2026-03-23,31967.5,stop_loss,316140,우리금융지주
2026-04-09,93000.0,2026-04-14,95500.0,holding_limit,017670,SK텔레콤
2026-04-22,257000.0,2026-04-23,244150.0,stop_loss,003670,포스코퓨처엠
2026-03-27,385000.0,2026-03-30,365750.0,stop_loss,196170,알테오젠
